Date,Strawberry
6/2/2012,0.765543372
6/3/2012,0.83222349
6/4/2012,0.78
6/5/2012,0.78
6/6/2012,0.78
6/7/2012,0.78
6/8/2012,0.78
6/9/2012,0.796147332
6/10/2012,0.826140911
6/11/2012,0.78
6/12/2012,0.78
6/13/2012,0.78
6/14/2012,0.78
6/15/2012,0.78
6/16/2012,0.801395968
6/17/2012,0.813530908
6/18/2012,0.78
6/19/2012,0.78
6/20/2012,0.78
6/21/2012,0.78
6/22/2012,0.78
6/23/2012,0.792089105
6/24/2012,0.805932299
6/25/2012,0.83
6/26/2012,0.83
6/27/2012,0.83
6/28/2012,0.83
6/29/2012,0.83
6/30/2012,0.827884392
7/1/2012,0.855560765
7/2/2012,0.78
7/3/2012,0.78
7/4/2012,0.766947106
7/5/2012,0.78
7/6/2012,0.78
7/7/2012,0.779046819
7/8/2012,0.809168965
7/9/2012,0.78
7/10/2012,0.78
7/11/2012,0.78
7/12/2012,0.72
7/13/2012,0.72
7/14/2012,0.723533139
7/15/2012,0.743655295
7/16/2012,0.83
7/17/2012,0.83
7/18/2012,0.83
7/19/2012,0.83
7/20/2012,0.83
7/21/2012,0.847204164
7/22/2012,0.871795282
7/23/2012,0.83
7/24/2012,0.83
7/25/2012,0.83
7/26/2012,0.83
7/27/2012,0.83
7/28/2012,0.839524106
7/29/2012,0.866730914
7/30/2012,0.83
7/31/2012,0.83
8/1/2012,0.83
8/2/2012,0.83
8/3/2012,0.83
8/4/2012,0.842995778
8/5/2012,0.877152369
8/6/2012,0.83
8/7/2012,0.83
8/8/2012,0.83
8/9/2012,0.94
8/10/2012,0.94
8/11/2012,0.960820214
8/12/2012,0.987146542
8/13/2012,0.94
8/14/2012,0.94
8/15/2012,0.94
8/16/2012,0.94
8/17/2012,0.94
8/18/2012,0.94842206
8/19/2012,0.976629243
8/20/2012,0.94
8/21/2012,0.94
8/22/2012,0.94
8/23/2012,0.94
8/24/2012,0.83
8/25/2012,0.859130517
8/26/2012,0.878243045
8/27/2012,0.94
8/28/2012,0.94
8/29/2012,0.94
8/30/2012,0.94
8/31/2012,0.94
9/1/2012,0.954587386
9/2/2012,0.974367962
9/3/2012,0.996467397
9/4/2012,0.94
9/5/2012,0.94
9/6/2012,0.94
9/7/2012,0.94
9/8/2012,0.946194932
9/9/2012,0.967823193
9/10/2012,0.94
9/11/2012,0.94
9/12/2012,1.06
9/13/2012,1.06
9/14/2012,1.06
9/15/2012,1.076743052
9/16/2012,1.101499126
9/17/2012,1.17
9/18/2012,1.11
9/19/2012,1.11
9/20/2012,1.11
9/21/2012,1.11
9/22/2012,1.120129035
9/23/2012,1.136240081
9/24/2012,1.14
9/25/2012,1.14
9/26/2012,1.14
9/27/2012,1.14
9/28/2012,1.14
9/29/2012,1.155787394
9/30/2012,1.178346202
10/1/2012,1.08
10/2/2012,1.08
10/3/2012,1.08
10/4/2012,1.08
10/5/2012,1.11
10/6/2012,1.127408729
10/7/2012,1.134509788
10/8/2012,1.143115834
10/9/2012,1.11
10/10/2012,1.11
10/11/2012,1.11
10/12/2012,1.11
10/13/2012,1.133138463
10/14/2012,1.165665344
10/15/2012,1.11
10/16/2012,1.11
10/17/2012,1.11
10/18/2012,1.11
10/19/2012,1.11
10/20/2012,1.125799671
10/21/2012,1.136382416
10/22/2012,1.19
10/23/2012,1.19
10/24/2012,1.25
10/25/2012,1.25
10/26/2012,1.25
10/27/2012,1.280192719
10/28/2012,1.31608148
10/29/2012,1.31
10/30/2012,1.31
10/31/2012,1.31
11/1/2012,1.31
11/2/2012,1.31
11/3/2012,1.322195754
11/4/2012,1.335998938
11/5/2012,1.33
11/6/2012,1.33
11/7/2012,1.56
11/8/2012,1.56
11/9/2012,1.56
11/10/2012,1.603618846
11/11/2012,1.603934989
11/12/2012,1.649651096
11/13/2012,1.72
11/14/2012,1.72
11/15/2012,1.72
11/16/2012,1.72
11/17/2012,1.742182837
11/18/2012,1.723096058
11/19/2012,1.89
11/20/2012,1.89
11/21/2012,1.89
11/22/2012,1.907845006
11/23/2012,1.89
11/24/2012,1.933235869
11/25/2012,1.904622064
11/26/2012,2
11/27/2012,2
11/28/2012,2.22
11/29/2012,2.22
11/30/2012,2.22
12/1/2012,2.270635948
12/2/2012,2.274063096
12/3/2012,2.22
12/4/2012,2.22
12/5/2012,2.22
12/6/2012,2.22
12/7/2012,2.22
12/8/2012,2.222256408
12/9/2012,2.218089864
12/10/2012,2.56
12/11/2012,2.56
12/12/2012,2.56
12/13/2012,2.56
12/14/2012,2.56
12/15/2012,2.580555007
12/16/2012,2.594043479
12/17/2012,2.56
12/18/2012,2.56
12/19/2012,2.56
12/20/2012,2.56
12/21/2012,2.56
12/22/2012,2.563340411
12/23/2012,2.570622966
12/24/2012,2.577924833
12/25/2012,2.583386526
12/26/2012,2.585835919
12/27/2012,2.591814384
12/28/2012,2.596775041
12/29/2012,2.602287517
12/30/2012,2.606431351
12/31/2012,2.613837466
1/1/2013,2.617908344
1/2/2013,2.622032509
1/3/2013,2.625471637
1/4/2013,2.62862216
1/5/2013,2.635500596
1/6/2013,2.637979851
1/7/2013,2.643358932
1/8/2013,2.648269699
1/9/2013,2.648932562
1/10/2013,2.651257501
1/11/2013,2.648147926
1/12/2013,2.663441346
1/13/2013,2.653621242
1/14/2013,2.670088754
1/15/2013,2.674557314
1/16/2013,2.691205964
1/17/2013,2.687928126
1/18/2013,2.68384634
1/19/2013,2.717635736
1/20/2013,2.670936332
1/21/2013,2.728285179
1/22/2013,2.743246899
